1048585	8130394	1	[85]
1048585	3832983	2	[85]
1048585	610230	3	[85]
1048585	4303474	4	[85]
1048585	2752336	5	[85]
1048585	5593918	6	[85]
1048585	2750577	7	[85]
1048585	4398450	8	[85]
1048585	4423862	9	[85]
1048585	8813584	10	[85]
2	7709937	1	[74]
2	890398	2	[74]
2	1182499	3	[74]
2	7579825	4	[74]
2	8366946	5	[74]
2	6045814	6	[74]
2	1717175	7	[74]
2	3857958	8	[74]
2	6883463	9	[74]
2	3866461	10	[74]
524332	2536213	1	[115]
524332	639826	2	[115]
524332	196796	3	[115]
524332	3210747	4	[115]
524332	968891	5	[115]
524332	1512633	6	[115]
524332	2581510	7	[115]
524332	4118246	8	[115]
524332	7992533	9	[115]
524332	7992528	10	[115]
1048642	7010197	1	[26]
1048642	675325	2	[26]
1048642	1260592	3	[26]
1048642	1842489	4	[26]
1048642	1750264	5	[26]
1048642	824130	6	[26]
1048642	6084814	7	[26]
1048642	2751484	8	[26]
1048642	1770715	9	[26]
1048642	1260588	10	[26]
524447	615261	1	[115]
524447	3543513	2	[115]
524447	427479	3	[115]
524447	7180243	4	[115]
524447	600082	5	[115]
524447	6467555	6	[115]
524447	1159509	7	[115]
524447	4860920	8	[115]
524447	5157586	9	[115]
524447	4253986	10	[115]
786674	8255426	1	[220]
786674	8551703	2	[220]
786674	6100602	3	[220]
786674	6100601	4	[220]
786674	2705737	5	[220]
786674	717925	6	[220]
786674	2545687	7	[220]
786674	717924	8	[220]
786674	2705735	9	[220]
786674	1762705	10	[220]
1048876	4743996	1	[14]
1048876	4779091	2	[14]
1048876	2568161	3	[14]
1048876	4900718	4	[14]
1048876	3205496	5	[14]
1048876	4670563	6	[14]
1048876	2653346	7	[14]
1048876	5761647	8	[14]
1048876	8232436	9	[14]
1048876	2403447	10	[14]
1048917	3567193	1	[73]
1048917	6726125	2	[73]
1048917	7703611	3	[73]
1048917	778991	4	[73]
1048917	2844579	5	[73]
1048917	2151489	6	[73]
1048917	3517406	7	[73]
1048917	8450347	8	[73]
1048917	3065547	9	[73]
1048917	3389914	10	[73]
786786	7412268	1	[26]
786786	1300100	2	[26]
786786	7178977	3	[26]
786786	3853381	4	[26]
786786	5587978	5	[26]
786786	2098433	6	[26]
786786	5216364	7	[26]
786786	829383	8	[26]
786786	8081946	9	[26]
786786	3427889	10	[26]
524699	1931011	1	[241]
524699	6048221	2	[241]
524699	7697755	3	[241]
524699	8502236	4	[241]
524699	1332771	5	[241]
524699	7697754	6	[241]
524699	1375287	7	[241]
524699	1375289	8	[241]
524699	3437507	9	[241]
524699	7349682	10	[241]
1048995	7280913	1	[165]
1048995	7280910	2	[165]
1048995	5306985	3	[165]
1048995	2888235	4	[165]
1048995	8794043	5	[165]
1048995	2726867	6	[165]
1048995	4931812	7	[165]
1048995	4443678	8	[165]
1048995	7509973	9	[165]
1048995	2762558	10	[165]
786857	6207047	1	[129]
786857	2960113	2	[129]
786857	22746	3	[129]
786857	7731459	4	[129]
786857	6461354	5	[129]
786857	3390040	6	[129]
786857	6859299	7	[129]
786857	2994535	8	[129]
786857	4799565	9	[129]
786857	5434171	10	[129]
524722	8158559	1	[26]
524722	800610	2	[26]
524722	6225940	3	[26]
524722	4446862	4	[26]
524722	7512472	5	[26]
524722	7776366	6	[26]
524722	353625	7	[26]
524722	3058747	8	[26]
524722	6701534	9	[26]
524722	1290093	10	[26]
873886	7913234	1	[209]
873886	7913232	2	[209]
873886	4356421	3	[209]
873886	7913233	4	[209]
873886	505507	5	[209]
873886	4569420	6	[209]
873886	4356420	7	[209]
873886	3618191	8	[209]
873886	4125554	9	[209]
873886	4125551	10	[209]
524733	3580205	1	[26]
524733	752327	2	[26]
524733	548740	3	[26]
524733	4771500	4	[26]
524733	6458008	5	[26]
524733	71305	6	[26]
524733	6684932	7	[26]
524733	5444977	8	[26]
524733	7522640	9	[26]
524733	506322	10	[26]
786918	2640069	1	[73]
786918	7411399	2	[73]
786918	23685	3	[73]
786918	6611452	4	[73]
786918	872874	5	[73]
786918	7736238	6	[73]
786918	7253844	7	[73]
786918	2434557	8	[73]
786918	5034080	9	[73]
786918	7159523	10	[73]
786937	4560058	1	[246]
786937	2287016	2	[246]
786937	1339468	3	[246]
786937	2419079	4	[246]
786937	5431042	5	[246]
786937	5860576	6	[246]
786937	2179626	7	[246]
786937	4812859	8	[246]
786937	2390911	9	[246]
786937	4384780	10	[246]
1049085	2788974	1	[129]
1049085	7959442	2	[129]
1049085	1106492	3	[129]
1049085	8076342	4	[129]
1049085	8107906	5	[129]
1049085	3588246	6	[129]
1049085	7697894	7	[129]
1049085	5577238	8	[129]
1049085	6269220	9	[129]
1049085	7147346	10	[129]
262232	5786056	1	[204]
262232	5090586	2	[204]
262232	8565707	3	[204]
262232	2295275	4	[204]
262232	2189381	5	[204]
262232	5786057	6	[204]
262232	7362983	7	[204]
262232	3360669	8	[204]
262232	7683787	9	[204]
262232	2189383	10	[204]
524835	7702385	1	[26]
524835	7499559	2	[26]
524835	2250331	3	[26]
524835	5752632	4	[26]
524835	7499562	5	[26]
524835	6044443	6	[26]
524835	7043731	7	[26]
524835	7423699	8	[26]
524835	7428543	9	[26]
524835	7020837	10	[26]
524848	7670356	1	[6]
524848	6079429	2	[6]
524848	4220603	3	[6]
524848	6511856	4	[6]
524848	4339282	5	[6]
524848	2953697	6	[6]
524848	8235537	7	[6]
524848	2618292	8	[6]
524848	2618291	9	[6]
524848	718394	10	[6]
1049200	754658	1	[210]
1049200	754657	2	[210]
1049200	5031353	3	[210]
1049200	2504442	4	[210]
1049200	5031354	5	[210]
1049200	7821935	6	[210]
1049200	1235436	7	[210]
1049200	4827524	8	[210]
1049200	257190	9	[210]
1049200	7788246	10	[210]
1049221	7674807	1	[210]
1049221	4791869	2	[210]
1049221	1989028	3	[210]
1049221	123530	4	[210]
1049221	5041676	5	[210]
1049221	3797283	6	[210]
1049221	2463169	7	[210]
1049221	4893636	8	[210]
1049221	2764538	9	[210]
1049221	4793792	10	[210]
1049329	2733745	1	[55]
1049329	6957784	2	[55]
1049329	5289591	3	[55]
1049329	2595528	4	[55]
1049329	4380786	5	[55]
1049329	3994527	6	[55]
1049329	8377047	7	[55]
1049329	2404163	8	[55]
1049329	7763165	9	[55]
1049329	7887839	10	[55]
1049368	3139612	1	[26]
1049368	4747864	2	[26]
1049368	4491911	3	[26]
