1048585	7187158	1
1048585	7187155	2
1048585	7546327	3
1048585	5765188	4
1048585	2817750	5
1048585	6782860	6
1048585	2411195	7
1048585	3100835	8
1048585	3913056	9
1048585	6579490	10
2	4339068	1
2	378374	2
2	413900	3
2	6728594	4
2	3866459	5
2	3866461	6
2	1033030	7
2	1304571	8
2	1854602	9
2	7913214	10
524332	6571672	1
524332	6571677	2
524332	7494174	3
524332	5109791	4
524332	1512631	5
524332	7494170	6
524332	1512633	7
524332	859234	8
524332	890219	9
524332	3208197	10
1048642	3798	1
1048642	7959743	2
1048642	7010197	3
1048642	7794304	4
1048642	7187023	5
1048642	7794301	6
1048642	389196	7
1048642	7187024	8
1048642	633654	9
1048642	3807	10
524447	3541560	1
524447	2470143	2
524447	2470141	3
524447	392471	4
524447	1730122	5
524447	3541561	6
524447	4774257	7
524447	2498892	8
524447	5167224	9
524447	4774255	10
786674	7936549	1
786674	7936551	2
786674	4813837	3
786674	4601597	4
786674	4601595	5
786674	5439451	6
786674	6667865	7
786674	5380527	8
786674	6667866	9
786674	7936555	10
1048876	7887619	1
1048876	3260730	2
1048876	7887624	3
1048876	8776800	4
1048876	3260731	5
1048876	7887620	6
1048876	3260732	7
1048876	4881033	8
1048876	420072	9
1048876	1041918	10
1048917	7186455	1
1048917	864520	2
1048917	655038	3
1048917	4939646	4
1048917	4986545	5
1048917	1940578	6
1048917	7575458	7
1048917	2022878	8
1048917	4939647	9
1048917	1940580	10
786786	7159801	1
786786	8488725	2
786786	7510232	3
786786	1442793	4
786786	3471725	5
786786	2794178	6
786786	7605850	7
786786	7088408	8
786786	7510237	9
786786	2667909	10
524699	1375282	1
524699	7697755	2
524699	5889510	3
524699	1375288	4
524699	1375286	5
524699	6048214	6
524699	5855870	7
524699	1375289	8
524699	5719230	9
524699	1375287	10
1048995	7280913	1
1048995	2629537	2
1048995	7280910	3
1048995	264181	4
1048995	5297928	5
1048995	2305622	6
1048995	2850716	7
1048995	7967442	8
1048995	3811693	9
1048995	8198395	10
786857	7777222	1
786857	102863	2
786857	7777221	3
786857	1484141	4
786857	7062301	5
786857	3042274	6
786857	6862358	7
786857	6862360	8
786857	6814970	9
786857	1282228	10
524722	7471189	1
524722	7471187	2
524722	5227477	3
524722	7471194	4
524722	6088478	5
524722	6069442	6
524722	7471188	7
524722	6088485	8
524722	6088481	9
524722	8158559	10
873886	7913232	1
873886	7913234	2
873886	7913233	3
873886	4356420	4
873886	4569420	5
873886	4010713	6
873886	4356421	7
873886	4569423	8
873886	4125554	9
873886	4125551	10
524733	7623633	1
524733	7623631	2
524733	7623638	3
524733	4536356	4
524733	3018969	5
524733	4866082	6
524733	955221	7
524733	4833209	8
524733	7232060	9
524733	4866081	10
786918	23685	1
786918	3613013	2
786918	6480686	3
786918	6480683	4
786918	7736238	5
786918	8452274	6
786918	6973229	7
786918	3613017	8
786918	3613019	9
786918	2177593	10
786937	7867876	1
786937	4560058	2
786937	2419079	3
786937	7867874	4
786937	2287011	5
786937	5860576	6
786937	5431042	7
786937	6795824	8
786937	6795828	9
786937	4384780	10
1049085	2474889	1
1049085	7186309	2
1049085	8168133	3
1049085	1944206	4
1049085	58657	5
1049085	2474890	6
1049085	2513168	7
1049085	2042344	8
1049085	214339	9
1049085	2573887	10
262232	6106892	1
262232	4405486	2
262232	5867230	3
262232	5489734	4
262232	4545044	5
262232	3843966	6
262232	6382878	7
262232	6106889	8
262232	453645	9
262232	1723018	10
524835	439788	1
524835	7499562	2
524835	7499559	3
524835	420223	4
524835	7499561	5
524835	7257221	6
524835	8495583	7
524835	8714952	8
524835	559223	9
524835	8300258	10
524848	7670356	1
524848	1381877	2
524848	1146764	3
524848	1146767	4
524848	1146762	5
524848	6013905	6
524848	1779294	7
524848	7992064	8
524848	4714513	9
524848	1071510	10
1049200	7806319	1
1049200	1235436	2
1049200	7776569	3
1049200	4827524	4
1049200	4712308	5
1049200	8538210	6
1049200	257190	7
1049200	7868368	8
1049200	5242605	9
1049200	2815614	10
1049221	2764534	1
1049221	2764538	2
1049221	4381181	3
1049221	7922017	4
1049221	7922019	5
1049221	3937747	6
1049221	7922025	7
1049221	7922018	8
1049221	2764535	9
1049221	4381175	10
1049329	7763164	1
1049329	239201	2
1049329	3896624	3
1049329	8091207	4
1049329	7186080	5
1049329	3896626	6
1049329	3994527	7
1049329	2733745	8
1049329	2733747	9
1049329	8038777	10
1049368	3808988	1
1049368	4548569	2
1049368	3991396	3
1049368	3139612	4
1049368	3139617	5
1049368	4747864	6
1049368	2116398	7
1049368	556628	8
1049368	8027947	9
1049368	2884180	10
787255	4216685	1
787255	4216689	2
787255	3973037	3
787255	4196679	4
787255	3421418	5
787255	1004883	6
787255	5934629	7
787255	7953511	8
787255	6562946	9
787255	6318270	10
262974	7980962	1
262974	7301412	2
262974	1392277	3
262974	7301413	4
